"survey_dt_gmt","polyid","glacier_name","counting_method","num_seals","off_image_count","standard_error","stockid","stockname","survey_date"
2002-08-10 18:30:00,"BE49","Endicott Arm","Oblique visual count",250,NA,NA,9,"Lynn Canal/Stephens Passage",2002-08-10
2002-08-15 22:03:00,"BE49","Endicott Arm","AeroMap",173,NA,NA,9,"Lynn Canal/Stephens Passage",2002-08-15
2002-08-16 20:44:00,"BE49","Endicott Arm","AeroMap",356,NA,NA,9,"Lynn Canal/Stephens Passage",2002-08-16
2002-09-03 21:40:00,"BE49","Endicott Arm","AeroMap",470,NA,NA,9,"Lynn Canal/Stephens Passage",2002-09-03
2007-08-19 21:19:00,"BE49","Endicott Arm","LATTE",150.619,NA,60.61938,9,"Lynn Canal/Stephens Passage",2007-08-19
2007-08-20 21:10:00,"BE49","Endicott Arm","LATTE",7.675,NA,5.990288,9,"Lynn Canal/Stephens Passage",2007-08-20
2007-08-21 20:35:00,"BE49","Endicott Arm","LATTE",34.525,NA,21.37326,9,"Lynn Canal/Stephens Passage",2007-08-21
2008-08-14 22:50:00,"BE49","Endicott Arm","LATTE",6.669,NA,3.68365,9,"Lynn Canal/Stephens Passage",2008-08-14
2009-08-05 23:16:00,"BE49","Endicott Arm","LATTE",50.394,NA,14.03586,9,"Lynn Canal/Stephens Passage",2009-08-05
2010-08-22 22:25:00,"BE49","Endicott Arm","MOSAIC",242,NA,NA,9,"Lynn Canal/Stephens Passage",2010-08-22
2011-07-28 00:06:00,"BE49","Endicott Arm","MOSAIC",0,NA,NA,9,"Lynn Canal/Stephens Passage",2011-07-27
2011-07-28 23:14:00,"BE49","Endicott Arm","MOSAIC",42,NA,NA,9,"Lynn Canal/Stephens Passage",2011-07-28
2013-08-15 22:51:00,"BE49","Endicott Arm","MOSAIC",119,1,NA,9,"Lynn Canal/Stephens Passage",2013-08-15
2013-08-17 01:00:00,"BE49","Endicott Arm","MOSAIC",88,NA,NA,9,"Lynn Canal/Stephens Passage",2013-08-16
2015-08-13 23:13:00,"BE49","Endicott Arm","MOSAIC",119,NA,NA,9,"Lynn Canal/Stephens Passage",2015-08-13
2015-08-15 22:26:00,"BE49","Endicott Arm","MOSAIC",23,33,NA,9,"Lynn Canal/Stephens Passage",2015-08-15
1998-08-19 16:39:00,"BE55","LeConte Bay","Oblique visual count",300,NA,NA,12,"Clarence Strait",1998-08-19
1998-08-20 17:07:00,"BE55","LeConte Bay","Oblique visual count",450,NA,NA,12,"Clarence Strait",1998-08-20
1998-08-21 15:50:00,"BE55","LeConte Bay","Oblique visual count",440,NA,NA,12,"Clarence Strait",1998-08-21
1998-08-23 21:15:00,"BE55","LeConte Bay","Oblique visual count",1085,NA,NA,12,"Clarence Strait",1998-08-23
1998-08-24 19:33:00,"BE55","LeConte Bay","Oblique visual count",270,NA,NA,12,"Clarence Strait",1998-08-24
1998-08-26 00:04:00,"BE55","LeConte Bay","Oblique visual count",508,NA,NA,12,"Clarence Strait",1998-08-26
1998-08-26 16:03:00,"BE55","LeConte Bay","Oblique visual count",368,NA,NA,12,"Clarence Strait",1998-08-26
2002-08-15 22:28:00,"BE55","LeConte Bay","AeroMap",1600,NA,NA,12,"Clarence Strait",2002-08-15
2002-09-03 22:02:00,"BE55","LeConte Bay","AeroMap",1904,NA,NA,12,"Clarence Strait",2002-09-03
2007-08-19 22:30:00,"BE55","LeConte Bay","LATTE",2451.865,NA,174.2997,12,"Clarence Strait",2007-08-19
2007-08-20 22:30:00,"BE55","LeConte Bay","LATTE",2208.775,NA,255.4647,12,"Clarence Strait",2007-08-20
2007-08-21 21:34:00,"BE55","LeConte Bay","LATTE",1469.267,NA,121.5777,12,"Clarence Strait",2007-08-21
2008-08-14 20:11:00,"BE55","LeConte Bay","LATTE",1323.591,NA,398.2371,12,"Clarence Strait",2008-08-14
2008-08-15 20:47:00,"BE55","LeConte Bay","LATTE",1328.571,NA,1516.597,12,"Clarence Strait",2008-08-15
2009-08-06 22:17:00,"BE55","LeConte Bay","LATTE",1022.97,NA,362.2558,12,"Clarence Strait",2009-08-06
2010-08-22 21:00:00,"BE55","LeConte Bay","MOSAIC",2000,NA,NA,12,"Clarence Strait",2010-08-22
2011-07-29 22:46:00,"BE55","LeConte Bay","MOSAIC",692,NA,NA,12,"Clarence Strait",2011-07-29
2011-07-30 22:24:00,"BE55","LeConte Bay","MOSAIC",328,NA,NA,12,"Clarence Strait",2011-07-30
2013-08-16 23:43:00,"BE55","LeConte Bay","MOSAIC",620,NA,NA,12,"Clarence Strait",2013-08-16
2015-08-13 23:01:00,"BE55","LeConte Bay","MOSAIC",366,69,NA,12,"Clarence Strait",2015-08-13
2015-08-15 21:37:00,"BE55","LeConte Bay","MOSAIC",483,79,NA,12,"Clarence Strait",2015-08-15
2002-08-10 19:07:00,"BF01","Tracy Arm","Oblique visual count",525,NA,NA,9,"Lynn Canal/Stephens Passage",2002-08-10
2002-08-15 21:39:00,"BF01","Tracy Arm","AeroMap",427,NA,NA,9,"Lynn Canal/Stephens Passage",2002-08-15
2002-08-16 21:16:00,"BF01","Tracy Arm","AeroMap",347,NA,NA,9,"Lynn Canal/Stephens Passage",2002-08-16
2007-08-19 20:29:00,"BF01","Tracy Arm","LATTE",533.691,NA,71.15562,9,"Lynn Canal/Stephens Passage",2007-08-19
2007-08-20 20:13:00,"BF01","Tracy Arm","LATTE",1222.633,NA,155.9301,9,"Lynn Canal/Stephens Passage",2007-08-20
2007-08-21 19:32:00,"BF01","Tracy Arm","LATTE",861.349,NA,135.9551,9,"Lynn Canal/Stephens Passage",2007-08-21
2008-08-13 20:35:00,"BF01","Tracy Arm","LATTE",427.631,NA,65.33536,9,"Lynn Canal/Stephens Passage",2008-08-13
2008-08-14 23:42:00,"BF01","Tracy Arm","LATTE",745.719,NA,178.106,9,"Lynn Canal/Stephens Passage",2008-08-14
2009-08-05 22:22:00,"BF01","Tracy Arm","LATTE",339.642,NA,84.89834,9,"Lynn Canal/Stephens Passage",2009-08-05
2009-08-07 00:54:00,"BF01","Tracy Arm","LATTE",830.433,NA,208.8687,9,"Lynn Canal/Stephens Passage",2009-08-06
2010-08-22 23:18:00,"BF01","Tracy Arm","MOSAIC",972,NA,NA,9,"Lynn Canal/Stephens Passage",2010-08-22
2011-07-29 00:19:00,"BF01","Tracy Arm","MOSAIC",984,NA,NA,9,"Lynn Canal/Stephens Passage",2011-07-28
2011-07-30 00:10:00,"BF01","Tracy Arm","MOSAIC",770,NA,NA,9,"Lynn Canal/Stephens Passage",2011-07-29
2013-08-15 23:19:00,"BF01","Tracy Arm","MOSAIC",801,NA,NA,9,"Lynn Canal/Stephens Passage",2013-08-15
